Habilidad_base,Habilidad_proceso_intermedio,Variación_semántica_habilidad,N_cluster,Habilidad_representativa_cluster
practicar terapia gestalt,practicar terapia gestalt,Practicar terapia gestalt,520,Realizar terapias psicológicas
procesar datos topográficos recabados,procesar datos topográficos recabados,Procesar datos topográficos recabados,521,Realizar estudios y procesamiento de datos topográficos
topografía,realizar estudios topográficos para planificación de terrenos,Realizar estudios topográficos para planificación de terrenos,521,Realizar estudios y procesamiento de datos topográficos
realizar levantamientos topográficos,levantamientos topográficos,Realizar levantamientos topográficos,521,Realizar estudios y procesamiento de datos topográficos
tramitar pagos,tramitar pagos,Tramitar pagos,522,Gestionar transacciones financieras
gestionar métodos pago mercancía,gestionar métodos pago mercancía,Gestionar métodos pago mercancía,522,Gestionar transacciones financieras
crear patrones productos textiles,crear patrones productos textiles,Crear patrones productos textiles,523,Diseñar patrones para productos y prendas textiles
crear patrones prendas vestir,crear patrones prendas vestir,Crear patrones prendas vestir,523,Diseñar patrones para productos y prendas textiles
abrir cuentas banco,abrir cuentas banco,Abrir cuentas banco,524,Gestionar apertura de cuentas bancarias
seleccionar fotografías,seleccionar fotografías,Seleccionar fotografías,525,Clasificar y seleccionar fotografías
componentes electrónicos,componentes electrónicos,Identificar componentes electrónicos,526,Identificar componentes de sistemas electrónicos y mecánicos
circuitos integrados,identificar componentes integrados,Identificar componentes integrados,526,Identificar componentes de sistemas electrónicos y mecánicos
componentes motores,identificar componentes de motores,Identificar componentes de motores,526,Identificar componentes de sistemas electrónicos y mecánicos
identificar componentes diagramas planos,identificar componentes diagramas planos,Identificar componentes diagramas planos,526,Identificar componentes de sistemas electrónicos y mecánicos
ayudar familias situaciones crisis,ayudar familias situaciones crisis,Ayudar familias situaciones crisis,527,Gestionar intervenciones en situaciones de crisis familiar y social
gestionar situaciones crisis social,gestionar situaciones crisis social,Gestionar situaciones crisis social,527,Gestionar intervenciones en situaciones de crisis familiar y social
intervenir situaciones crisis,intervenir situaciones crisis,Intervenir situaciones crisis,527,Gestionar intervenciones en situaciones de crisis familiar y social
asesorar conservación naturaleza,asesorar conservación naturaleza,Asesorar conservación naturaleza,528,Asesorar en conservación y patrimonio
asesorar materia conservación,asesorar materia conservación,Asesorar materia conservación,528,Asesorar en conservación y patrimonio
asesorar conservación alimentos,asesorar conservación alimentos,Asesorar conservación alimentos,528,Asesorar en conservación y patrimonio
asesorar yacimientos arqueológicos,asesorar yacimientos arqueológicos,Asesorar yacimientos arqueológicos,528,Asesorar en conservación y patrimonio
principios comercialización,principios comercialización,Aplicar principios de comercialización,529,Aplicar técnicas y principios de mercadotecnia
técnicas comercialización,técnicas comercialización,Aplicar técnicas de comercialización,529,Aplicar técnicas y principios de mercadotecnia
técnicas venta,aplicar técnicas de ventas,Aplicar técnicas de ventas,529,Aplicar técnicas y principios de mercadotecnia
aplicar técnicas organizativas,aplicar técnicas organizativas,Aplicar técnicas organizativas,529,Aplicar técnicas y principios de mercadotecnia
remarketing,aplicar técnicas de remarketing,Aplicar técnicas de remarketing,529,Aplicar técnicas y principios de mercadotecnia
telemarketing,aplicar técnicas de telemarketing,Aplicar técnicas de telemarketing,529,Aplicar técnicas y principios de mercadotecnia
combinación mercadotecnia,aplicar principios de combinación de mercadotecnia,Aplicar principios de combinación de mercadotecnia,529,Aplicar técnicas y principios de mercadotecnia
técnicas neuromarketing,aplicar técnicas de neuromarketing,Aplicar técnicas de neuromarketing,529,Aplicar técnicas y principios de mercadotecnia
manejar maquinaria pesada actividades acuícolas,manejar maquinaria pesada actividades acuícolas,Manejar maquinaria pesada actividades acuícolas,530,Manejar y dirigir equipos y maquinaria en pesca y acuicultura
manejar equipos buques,manejar equipos buques,Manejar equipos buques,530,Manejar y dirigir equipos y maquinaria en pesca y acuicultura
manejar equipos buques pesqueros,manejar equipos buques pesqueros,Manejar equipos buques pesqueros,530,Manejar y dirigir equipos y maquinaria en pesca y acuicultura
manejar equipos salvamento buques,manejar equipos salvamento buques,Manejar equipos salvamento buques,530,Manejar y dirigir equipos y maquinaria en pesca y acuicultura
manejar máquinas fabricar equipos pesca,manejar máquinas fabricar equipos pesca,Manejar máquinas fabricar equipos pesca,530,Manejar y dirigir equipos y maquinaria en pesca y acuicultura
dirigir equipo servicios pesqueros,dirigir equipo servicios pesqueros,Dirigir equipo servicios pesqueros,530,Manejar y dirigir equipos y maquinaria en pesca y acuicultura
entrevistar grupos temáticos,entrevistar grupos temáticos,Entrevistar grupos temáticos,531,Moderar entrevistas grupales temáticas
asistir procedimientos vacunación,asistir procedimientos vacunación,Asistir procedimientos vacunación,532,Realizar procedimientos y técnicas de toma de muestras y vacunación
asistir toma muestras sangre,asistir toma muestras sangre,Asistir toma muestras sangre,532,Realizar procedimientos y técnicas de toma de muestras y vacunación
técnicas toma muestras sangre,técnicas toma muestras sangre,Técnicas toma muestras sangre,532,Realizar procedimientos y técnicas de toma de muestras y vacunación
elaborar políticas comercio,elaborar políticas comercio,Elaborar políticas comercio,533,Diseñar políticas estratégicas en comercio y defensa
elaborar políticas defensa,elaborar políticas defensa,Elaborar políticas defensa,533,Diseñar políticas estratégicas en comercio y defensa
tipos masaje,identificar tipos de masajes,Identificar tipos de masajes,534,Distinguir variedades de técnicas de masaje
buscar bases datos,buscar bases datos,Buscar bases datos,535,Gestionar bases de datos en el sector agrícola
utilizar bases datos,utilizar bases datos,Utilizar bases datos,535,Gestionar bases de datos en el sector agrícola
crear bases datos terminología,crear bases datos utilizar terminología específica del aparejo de elevación y de los sistemas de anclaje para garantizar la seguridad en operaciones de carga,Crear bases datos utilizar terminología específica,535,Gestionar bases de datos en el sector agrícola
bases datos servicio,bases datos servicio,Bases datos servicio,535,Gestionar bases de datos en el sector agrícola
utilizar sistemas bases datos información agrícola,utilizar sistemas bases datos información agrícola,Utilizar sistemas bases datos información agrícola,535,Gestionar bases de datos en el sector agrícola
realizar contabilidad costes,gestionar registros contables para controlar la salud financiera costes,Gestionar registros contables para controlar la salud financiera costes,536,Administrar contabilidad y costos financieros
evaluar diseños edificios integrados,evaluar diseños edificios integrados,Evaluar diseños edificios integrados,537,Diseñar y evaluar edificios integrados
diseño integrado,ejecutar diseño integrado,Ejecutar diseño integrado,537,Diseñar y evaluar edificios integrados
determinar riesgos incendios,determinar riesgos incendios,Determinar riesgos incendios,538,Evaluar y gestionar riesgos laborales
identificación riesgos,realizar identificación de riesgos,Realizar identificación de riesgos,538,Evaluar y gestionar riesgos laborales
elaborar evaluación riesgos,elaborar evaluación riesgos,Elaborar evaluación riesgos,538,Evaluar y gestionar riesgos laborales
elaborar evaluación riesgos producción artes escénicas,elaborar evaluación riesgos producción artes escénicas,Elaborar evaluación riesgos producción artes escénicas,538,Evaluar y gestionar riesgos laborales
elaborar mapas riesgos,elaborar mapas riesgos,Elaborar mapas riesgos,538,Evaluar y gestionar riesgos laborales
seleccionar control riesgos,seleccionar control riesgos,Seleccionar control riesgos,538,Evaluar y gestionar riesgos laborales
utilizar programación automática,utilizar programación automática,Utilizar programación automática,539,Desarrollar programación en múltiples plataformas
utilizar programación scripts,utilizar programación scripts,Utilizar programación scripts,539,Desarrollar programación en múltiples plataformas
programación web,realizar programación web,Realizar programación web,539,Desarrollar programación en múltiples plataformas
dispositivos movilidad pequeño tamaño,dispositivos movilidad pequeño tamaño,Dispositivos movilidad pequeño tamaño,540,Manejar dispositivos de movilidad de pequeño tamaño
